Sl No,SPIN ID,Item Name,L1,IM Images,UOM,Instamart URL,amazon_url,amazon_mrp,amazon_sale_price,amazon_quantity,amazon_uom
76,4BJW73MT44,Crocs Womens Splash Glitter Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/a1d739fd-9152-488d-afa2-89c6f4e520c2_BeltsWalletsBagsinstamax_39PBVHMLXI_MN.PNG,8UK,https://www.swiggy.com/stores/instamart/p/4BJW73MT44?custom_back=true,-,-,-,-,-
77,RO9T870SGU,Crocs Mens Classic II Clogs Black_UK8,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/76505636-7805-4bb8-bfd5-58b9404ffe31_BeltsWalletsBagsinstamax_WVTXK7RNHK_MN.jpg,8UK,https://www.swiggy.com/stores/instamart/p/RO9T870SGU?custom_back=true,-,-,-,-,-
78,D86VS0I17Z,Crocs Men Classic All-Terrain Flip Flop Yellow,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/aa2c705ee0a42434404c18dbb1793941,4UK,https://www.swiggy.com/stores/instamart/p/D86VS0I17Z?custom_back=true,-,-,-,-,-
79,TJASBDXV9U,VI-JOHN Purifying Charcoal Premium Shaving Cream Enriched With Aloevera & Jojoba Oil and Shaving Brush From Paraben,Beauty and Grooming,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/2/24/f0460cb6-4281-44c0-9284-11183716a764_694373_1.png,70ml,https://www.swiggy.com/stores/instamart/p/TJASBDXV9U?custom_back=true,-,-,-,-,-
80,7LV8L37SR9,"Cello Amitabh Bachchan Opalware Solitaire Series Blu Dinner Set, 33 Units | Opal Glass Dinner Set for 6 | Crockery Set for Festive Ocassions, Parties | White Plate and Bowl Set",Kitchen and Dining,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/11/d2aa4e3e-9dd6-4702-8a61-fba45d391a0e_34177_1.png,1pack,https://www.swiggy.com/stores/instamart/p/7LV8L37SR9?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzI4NTQ2MjE5Mzg2NjQ2OjE3NDUzMjQyNzQ6c3BfYXRmOjMwMDUwMzk1NTc3MTYzMjo6MDo6&url=%2FShay-Ceramic-White-Crockery-Japandi%2Fdp%2FB0D8LBTF9L%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.p6WT5nA4RjHXTaVt-FN1m5FB2I0ertnvC79TpM4iF4bwZwTDRQ-3LuxCELN8lemyRLrlesPyCwPo9c8ftdylht8vjFEi9PGJUg96HGVdqFQ_Uq53Hwpigw6q_yKAdcYENqNaFWIgsmjJ8NqkVO-WsqMfcV38w0CaDk9nSH5R7wb_iHwOPGSu9xjvcioVEXeQsM14tnBX9daqMPQ9y8r-pb3HWD5fOood21UG4-blY80T6Kir8xXZNcKiIRtzPQIPrfp1J2zRJwupes0-Fl4gOyVldo2GSNZzOuk07Zy_mEY.Hl79ZMBA08MSPIzp2kDCGpWreS_RFdRLw3MEsUPPTZc%26dib_tag%3Dse%26keywords%3DCello%2BAmitabh%2BBachchan%2BOpalware%2BSolitaire%2BSeries%2BBlu%2BDinner%2BSet%252C%2B33%2BUnits%2B%257C%2BOpal%2BGlass%2BDinner%2BSet%2Bfor%2B6%2B%257C%2BCrockery%2BSet%2Bfor%2BFestive%2BOcassions%252C%2BParties%2B%257C%2BWhite%2BPlate%2Band%2BBowl%2BSet%2B1pack%26qid%3D1745324274%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,7999.00,4999.,12,pcs
81,GDD6UKDOUH,playR Training T-Shirt Red - L,Home and Kitchen Needs,https://instamart-media-assets.swiggy.com/swiggy/image/upload/086bca61fc57b934ecba88b41c8c9312,1Piece,https://www.swiggy.com/stores/instamart/p/GDD6UKDOUH?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjE3Nzg3MTcwMTg0NzM4OjE3NDUzMjQyNzY6c3BfYXRmOjMwMDQ5ODg2NjYwMjgzMjo6MDo6&url=%2FJiSu-2Men-Oversize-Softness-Everyday%2Fdp%2FB0DT79K1V8%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9._vxDA1998lmO7e5rUhPDt_rFeqpTyNbt-qu9rNt4mcOaBVZg4Vp3iL8CCK3dTONNCcMy3acJUkvVspdJMFeYSIgeRadXvbm-6mfjEgSCzIwrWav4mThAo43zxgJXjnTkgx2KRTrNCOF8hQWQqdgCB1B5dqnFJ1rMm6qghbfq1OH8c29ZxlZ-7toEpsXvJ4yIPwnGMDutbDYCnjlPdBSyqRixmfoAMu8A5kvo1b5XFfPgEjSiEcC565wdkNqhyOfbe78m5zMoq1WuLh3zhFwhBI-ZtSopidIj5aYi5BTaEaA.3i3nxl4zAQ5vjWvmbVmdffjJNwTQQos6-WBnHAzZAek%26dib_tag%3Dse%26keywords%3DplayR%2BTraining%2BT-Shirt%2BRed%2B-%2BL%2B1Piece%26qid%3D1745324275%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,499,N/A,N/A
82,PKXXR6621C,Sosyo mix fruit flavoured drink_1.5l,Cold Drinks and Juices,0,1.5L,https://www.swiggy.com/stores/instamart/p/PKXXR6621C?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTYxOTA3OTUwNDQ5MjQ0OjE3NDUzMjQyODA6c3BfYXRmOjMwMDUyNDUyMjcxMzYzMjo6MDo6&url=%2FBerry-Superfood-Multi-Vitamin-Enriched-Beverage%2Fdp%2FB0F37BPXPV%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.LFXpM1aE4QzrjjJSgXQKz7QM_xgnaj21FPFSTGk1S5p79f7NcqZJDURHT5Bjc3bAROCqYLXE9_kIu86_P2WBU0jZkmUJX36vXkmXX_YSdLlYf6RVLPLOswQpTsXoToPAasAP6WE0FwsjxS_-RqAzYw.C5Mcv3MwIecsxSWwE5B7adZMXjvDWPSbAdP8YntfEK0%26dib_tag%3Dse%26keywords%3DSosyo%2Bmix%2Bfruit%2Bflavoured%2Bdrink_1.5l%2B1.5L%26qid%3D1745324279%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,449.,N/A,N/A
83,LXNQKJ6M40,Sparx Slippers SF0204G Grey Black- 6 UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/18/2dc45248-9540-485c-8a64-74d6c32cc19a_56552_1.png,6UK,https://www.swiggy.com/stores/instamart/p/LXNQKJ6M40?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MzcwMzc4NzQ3NTQzMzE4OjE3NDUzMjQyODQ6c3BfYXRmOjMwMDUyMzc5MTExNTkzMjo6MDo6&url=%2FGranulon-High-Arch-Support-Slider%2Fdp%2FB0DZ2MDGYM%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.zvkbKUC3Nkh-i06xCsPxJ5mTDuIbbY1kqjsSHkDM8OKqxG2xG4IYYfA9EK7cFg8_F9f_rTuWbUJ4ly3PTExXOHFoe2BLyr7JWASZJ78KGTMKewRxXSchNke1sxA2LNaATcSYDwPgfebWN5vRxivAtGOgj42n6bRMkafRbF4Z5orCEWT2BFxRGr78YfuKh-MILdd1ETG6Hq0uzxjwW4DA52pwL1cQuEKQKcYYuRAY-I6887_jSiw5AnEps3286O2UR1focz0In0yGow5g0Y1co7hSbMVjKJT71p-Gt73ODrw.uUgErw5WgVxwr_6nVpkFFhsmApDPdf_byJa3_AAfPyM%26dib_tag%3Dse%26keywords%3DSparx%2BSlippers%2BSF0204G%2BGrey%2BBlack-%2B6%2BUK%2B6UK%26nsdOptOutParam%3Dtrue%26qid%3D1745324283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,1299,N/A,N/A
84,WKXULCSS37,ORGANIC INDIA Ashwagandha 60 Cap,Nutraceuticals,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/12/96360968-262f-4fc2-86ca-5216806fb1ff_75628_1.png,200g,https://www.swiggy.com/stores/instamart/p/WKXULCSS37?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDc3MTI2MDk4MTY5ODE4OjE3NDUzMjQyODg6c3BfYXRmOjMwMDUxODI2MDU2NDAzMjo6MDo6&url=%2FNutri-Ninja-Ashwagandha-Adaptogenic-Management%2Fdp%2FB0DZH2P7JS%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.ul9ePoaxieWs0HjK1cebfV67IXYp9R29kG0ij3S7M8PgU6dV2WHLA1521Sccjj_C-6iEhOMP0-Emkx9Z5frOkGR01zrbWBUGnUVZhkcClEb255p2gMTSHsQfRyMbgZfHQh9jvAzCkuYY3yPY9oRzVCH0xd_eSdNM6DK9naPqPTonUJ3lOwmjplQng0yohkFMhlnck1akDmrnpAnzn6w512mED4VsUmqdVaVjamx070rW2GVCDpK1YIps_FDpW1aJ06_vPMkSogTgVBPJaRVxmQh4_iMXa4rU9xvfC7xKK1Y.J8NhOXnzRsPaBNd-2KWrMySknE0ue6yikPvV7l5oYU0%26dib_tag%3Dse%26keywords%3DORGANIC%2BINDIA%2BAshwagandha%2B60%2BCap%2B200g%26qid%3D1745324288%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,445.,200,g
85,06CQDYPDIM,Oye Happy Coal,Holi,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/3/dbfb9c53-75f7-47a6-8e00-905f6fcdff6f_340132_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/06CQDYPDIM?custom_back=true,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MDI4Mjc2MDg3Njg0NDkwOjE3NDUzMjQyOTE6c3BfYXRmOjMwMDUyNDI1MTE5MzUzMjo6MDo6&url=%2FOyeHappy-Anniversary-Glitter-Romantic-Sparkly%2Fdp%2FB0F253ZHNV%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.Vop4v9yO73Ayd__R1SfYY21KQv-2p_HSX9t33Nx5kV2u_vTatMlpHfa2fnN89-p6q9186OUXCtouwX7mftOaQnBdqrUEUje7uwcYv5Z0zxfQfc1vWhGrRuMo10MlB_9nbFYStZPuPXSxehybzdmRxqrBLEZGVoVks2tguSfeS2PBbh6hHdrtpV25usmn_ejNCRoel48Q-PN9cEfM7RHJFe_Bq0qZHQfYTDVrLzRK_Q6eZepSMtl7xSX7UkdX9ijbTWIFXmy2ZClIiPH9zifED83p9vXDkMIotXeFQK_avDc.uBjJk1vSXd8axnNT3abSVfERuqyBgFWE3oQ8b6vA6C4%26dib_tag%3Dse%26keywords%3DOye%2BHappy%2BCoal%2B1Piece%26qid%3D1745324290%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,N/A,1990.,N/A,N/A
