Sl No,SPIN ID,Item Name,L1,IM Images,UOM,Instamart URL
662,XPX4L0C8RS,K P Namboodiri's Sandal Herbal Soap - Buy 3 Get 1 Free,Bath Body and Hair,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/5/6f762fde-c618-4ffa-ab72-fe1c7f5fefd2_473090_1.png,400g,https://www.swiggy.com/stores/instamart/p/XPX4L0C8RS?custom_back=true
663,3S8MYC99TQ,Sanfe Acne Clearing Microneedle Dots,Beauty and Grooming,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/9/0d95d431-28cc-4c4e-9172-4190bc700e76_841005_1.png,9pieces,https://www.swiggy.com/stores/instamart/p/3S8MYC99TQ?custom_back=true
664,XGWJX0336Q,K P Namboodiri's Ayurvedic Tooth Care Powder(Strong),Bath Body and Hair,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/6/2f445431-ea10-453b-99e8-7e9851150a46_286115_1.png,80g,https://www.swiggy.com/stores/instamart/p/XGWJX0336Q?custom_back=true
665,NJKPABBZ7L,Nootie Mutton Chew Stick Dog Treat,Pet Supplies,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/27/3f46544e-48cf-4dfe-9ed2-378de9627f63_885706_1.png,1kg,https://www.swiggy.com/stores/instamart/p/NJKPABBZ7L?custom_back=true
666,3X5XUIHVTT,Nootie Chicken & Peanut Butter Dog Biscuit for Puppies,Pet Supplies,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/19/0c13e2bb-33fc-4d8e-beac-02f870b3cd91_405363_1.png,1kg,https://www.swiggy.com/stores/instamart/p/3X5XUIHVTT?custom_back=true
667,WUAZTTS2HN,Nootie Chicken Chew Stick Dog Treat,Pet Supplies,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/27/2424a86c-f461-4c93-8bc4-668d824aff04_954937_1.png,1kg,https://www.swiggy.com/stores/instamart/p/WUAZTTS2HN?custom_back=true
668,1AXNJRZ7DA,Happilo Premium International Hot & Spice Cashew,Dry Fruits and Nuts,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/5/ae8b4b77-c102-4cbd-a4c8-6935298365f8_695828_1.png,45g,https://www.swiggy.com/stores/instamart/p/1AXNJRZ7DA?custom_back=true
669,DU0V2QTU4C,Happilo Premium Butter Chilli Garlic Cashew,Dry Fruits and Nuts,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/5/be81cc85-8160-49cc-af7d-de2f9aea2289_435532_1.png,50g,https://www.swiggy.com/stores/instamart/p/DU0V2QTU4C?custom_back=true
670,LH4150YWYJ,Drools Chicken and Egg Biscuit,Pet Supplies,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/26/525b9d87-ca66-44ca-95e0-2bd583aed735_538946_1.png,800g,https://www.swiggy.com/stores/instamart/p/LH4150YWYJ?custom_back=true
671,V8SST4GU6D,Femora 1.8L Borosilicate Glass Water Jug with Stainless Steel Lid - Transparent,Kitchen and Dining,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/29/8215fbc5-23ee-4459-aaaa-dfa3ff743123_877904_1.png,1pack,https://www.swiggy.com/stores/instamart/p/V8SST4GU6D?custom_back=true
