Sl No,SPIN ID,Item Name,L1,IM Images,UOM,Instamart URL
1,0XD6AR4Z08,Patanjali Kesh Kanti Advance Herbal Hair Expert Oil 100 ml,Bath Body and Hair,0,100ml,https://www.swiggy.com/stores/instamart/p/0XD6AR4Z08?custom_back=true
2,5E0HASUBUJ,Crocs Womens Splash Slides Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/5037892c-4d61-4063-9cbb-4e75e3ace0d0_BeltsWalletsBagsinstamax_W11ADHVRAD_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/5E0HASUBUJ?custom_back=true
3,X5P53X35HD,Crocs Womens Boca Wedge Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/f1fa7c9f-d0b8-4a36-8710-a8befbbf15dd_BeltsWalletsBagsinstamax_850PROKJ9W_MN.png,1Piece,https://www.swiggy.com/stores/instamart/p/X5P53X35HD?custom_back=true
4,QRKD13ZY2Q,Mad Over Print Super Sis Black Tshirt,Clothing,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/7/11/e715020c-e277-4894-9ef7-f4b69e16c555_FashionClothing_QRKD13ZY2Q_MN.png,1Medium,https://www.swiggy.com/stores/instamart/p/QRKD13ZY2Q?custom_back=true
5,KTDUI4LQZN,Crocs Mens Crocband Flip Flop Graphite/Volt Green,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/e363ea12-a7c6-499e-b696-731ba8d3f7aa_BeltsWalletsBagsinstamax_VDIK9OO28I_MN.jpg,3UK,https://www.swiggy.com/stores/instamart/p/KTDUI4LQZN?custom_back=true
6,T4W4PZJR7X,Crocs Womens Splash Studded Flip Flop Red_UK5,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/70cce53d-953e-47e7-840e-a1f1a9fd4c5b_BeltsWalletsBagsinstamax_J45KXFTCPW_MN.PNG,5UK,https://www.swiggy.com/stores/instamart/p/T4W4PZJR7X?custom_back=true
7,W4LX4W4HAL,Crocs Mens Classic All-Terrain Flip Flop Yellow,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/aa2c705ee0a42434404c18dbb1793941,8UK,https://www.swiggy.com/stores/instamart/p/W4LX4W4HAL?custom_back=true
8,CE75R4DF79,Flite Slippers FL0366L Navy Pink- 6 UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/18/e87737b9-4768-4660-bd23-5e18a50d5fa9_65013_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/CE75R4DF79?custom_back=true
9,7HKNXXYEJC,Flite Slippers FL0366L Navy Pink- 7 UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/18/9375f718-3f23-4855-82a6-b86eb2638b00_79754_5.png,7UK,https://www.swiggy.com/stores/instamart/p/7HKNXXYEJC?custom_back=true
10,KPFIUJFTMY,Crocs Classic Crocs Marbled Sandal Brown,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/4/15/05b2ab71-e215-48fa-858b-178feb7fd151_BeltsWalletsBagsinstamax_LJX0D2IR0B_MN.PNG,10UK,https://www.swiggy.com/stores/instamart/p/KPFIUJFTMY?custom_back=true
11,18AZIHYB9C,Crocs Womens Flip Flop Black_6_UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/27/78f613ae-bc5f-467d-bf7d-2d406c81cd54_BeltsWalletsBagsinstamax_WF9VKW144Y_MN.JPG,1Piece,https://www.swiggy.com/stores/instamart/p/18AZIHYB9C?custom_back=true
12,P1RTN37BFS,Crocs Mens Classic Animal Remix Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/be308e1a-f94a-420d-8a3f-089aa76e217c_BeltsWalletsBagsinstamax_3XJJ68R1CJ_MN.jpg,10UK,https://www.swiggy.com/stores/instamart/p/P1RTN37BFS?custom_back=true
13,W89HR56BGQ,Crocs Womens Classic Platform Flip Flop White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/28/4a9568ef-4786-495f-a28f-1db1dbfb7b1e_80920_1.png,4UK,https://www.swiggy.com/stores/instamart/p/W89HR56BGQ?custom_back=true
14,BMQ2O32KFH,Patanjali Dant Kanti Fresh Active Gel Toothpaste Crystal,Hygiene and Wellness,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/6/0373f658-b9de-4816-8647-77d383d5056c_184512_1.png,300g,https://www.swiggy.com/stores/instamart/p/BMQ2O32KFH?custom_back=true
15,EY5KR8HMOY,Crocs Mens Classic Animal Remix Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/be308e1a-f94a-420d-8a3f-089aa76e217c_BeltsWalletsBagsinstamax_3XJJ68R1CJ_MN.jpg,9UK,https://www.swiggy.com/stores/instamart/p/EY5KR8HMOY?custom_back=true
16,Y88MBIAAKW,Crocs Womens Kadee II Sandal Navy,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/4c3dd2f1-270d-4eea-a636-b327f09e234d_BeltsWalletsBagsinstamax_IN63VU7DT4_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/Y88MBIAAKW?custom_back=true
17,5SGZYQAP8K,Kriiddaank HW- Blaster Shot,Toys,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/20/5f3bafe2-e91b-459e-9961-62777940f5d8_444844_1.png,1pack,https://www.swiggy.com/stores/instamart/p/5SGZYQAP8K?custom_back=true
18,7FPPN3NW9X,Delight foods Banarasi Meetha Paan,Paan Corner,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/27/fbf1a926-6f2b-406e-9156-3cc3700720c8_847405_1.png,300g,https://www.swiggy.com/stores/instamart/p/7FPPN3NW9X?custom_back=true
19,9GFRH1T68G,Delight foods Premium Wild Joha Rice,"Atta, Rice and Dals",https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/27/ac417619-6ecd-4052-899a-dff8290502a2_704037_1.png,1kg,https://www.swiggy.com/stores/instamart/p/9GFRH1T68G?custom_back=true
20,Z1E2I15EF9,Robustt Keyless Numeric Bike Cable Lock | Preset Combination | Anti-Theft Protection,Sports and Fitness,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/2/15/bd6088fc-1867-41e7-b4ee-0e03fe4778c5_404968_1.png,1pack,https://www.swiggy.com/stores/instamart/p/Z1E2I15EF9?custom_back=true
21,99BV8O917R,MAYA KISMIS INDIAN 500g,Dry Fruits and Nuts,https://instamart-media-assets.swiggy.com/swiggy/image/upload/dulbeaaboaj9rjrnwjem,500g,https://www.swiggy.com/stores/instamart/p/99BV8O917R?custom_back=true
22,24NQ4B71SV,Crocs Mens Classic Sandal White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/1b981edf44d686436b9bacbbf47a7aa5,1Piece,https://www.swiggy.com/stores/instamart/p/24NQ4B71SV?custom_back=true
23,KZOWHNRHMP,Crocs Womens Boca Wedge Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/35aa5fe6-0384-41e0-adbb-f450fab71fb7_BeltsWalletsBagsinstamax_CC0PSR9JF2_MN.png,3UK,https://www.swiggy.com/stores/instamart/p/KZOWHNRHMP?custom_back=true
24,JBAYL84QFL,Party Propz Ganpati Decoration Items for Home,Party Planning,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/9/14/fe830e8c-5853-4cac-ad12-7b2f2531457b_884883_1.jpg,1Piece,https://www.swiggy.com/stores/instamart/p/JBAYL84QFL?custom_back=true
25,UDCS7WVLFC,"Engage Exquisite Collection Luxury Grooming Gift Set for Men, Combo Set of 3",Beauty and Grooming,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/4/000cb90c-09cd-472b-86df-b983336406bb_808167_1.png,450ml,https://www.swiggy.com/stores/instamart/p/UDCS7WVLFC?custom_back=true
26,VZ1C103ZPN,Crocs Mens Mellow Recovery Flip Flop White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/5/17/00b5b34b-441e-4e08-b375-53aba2b4d64c_AA_2OC6P5ZXPU_MN.jpg,5UK,https://www.swiggy.com/stores/instamart/p/VZ1C103ZPN?custom_back=true
27,T67FGCM758,Crocs Womens Splash Glitter Flip Flop Grey_UK7,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/27/1824ce49-fd0d-49a5-8d4a-ab7f5a2945d1_BeltsWalletsBagsinstamax_NJ4H63HYUR_MN.png,7UK,https://www.swiggy.com/stores/instamart/p/T67FGCM758?custom_back=true
28,G56823YHPY,Crocs Mens Classic Crocs Sandal Blue_UK6,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/4/15/34d1723b-7eff-41f2-9a21-ae15c32a48ee_BeltsWalletsBagsinstamax_QHC19I2XY7_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/G56823YHPY?custom_back=true
29,2FORTL1L3W,Crocs Classic Crocs Slide Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/2d66eada-d4b3-4355-a09e-39948330cc3b_BeltsWalletsBagsinstamax_5S46HG8AKO_MN.PNG,8UK,https://www.swiggy.com/stores/instamart/p/2FORTL1L3W?custom_back=true
30,QUMW4HX2NI,Crocs Mens Crocband Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/d35e87b1-3a64-49ff-bf27-c4d3554421a7_BeltsWalletsBagsinstamax_D04TKXX36X_MN.png,7UK,https://www.swiggy.com/stores/instamart/p/QUMW4HX2NI?custom_back=true
31,FSELVEG232,Crocs Mens Crocband Flip Flop Graphite/Volt Green,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/27/2434117b-f77a-415e-a26a-7baa72c69837_BeltsWalletsBagsinstamax_VDIK9OO28I_MN.JPG,8UK,https://www.swiggy.com/stores/instamart/p/FSELVEG232?custom_back=true
32,08B0UAATBA,Crocs Mens Crocband Flip Flop White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/31d0101e-8e13-49a6-bc84-a23b2f874f9f_BeltsWalletsBagsinstamax_D7TVST9W2U_MN.png,4UK,https://www.swiggy.com/stores/instamart/p/08B0UAATBA?custom_back=true
33,YP691XFV2W,Crocs Mens Classic Crocs Sandal Green,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/2/18/0d1541b1-7ff7-4dc4-9d9d-d57f3cb49ad4_81313_1.png,11UK,https://www.swiggy.com/stores/instamart/p/YP691XFV2W?custom_back=true
34,5RNTSVPVM1,Wonderchef Royal Velvet Dosa Tawa 28cm,Kitchen and Dining,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/27/d0d4c1a2-ba3e-44e0-ab56-829ec06208d6_991054_1.png,1box,https://www.swiggy.com/stores/instamart/p/5RNTSVPVM1?custom_back=true
35,ESN2PL70B3,Crocs Womens Kadee II Graphic Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/a89564d6-912d-4b69-85a2-8fb9ffa0d1ca_BeltsWalletsBagsinstamax_NJRLJZZO9J_MN.jpg,1Piece,https://www.swiggy.com/stores/instamart/p/ESN2PL70B3?custom_back=true
36,GS3PZOHA8L,Quace Pumkin Halloween Basket (Medium),Toys,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/10/17/290f0b02-2fed-4cfc-9812-b625491a99d6_840034_1.png,1Piece,https://www.swiggy.com/stores/instamart/p/GS3PZOHA8L?custom_back=true
37,GYVR3XQLZK,playR Training T-Shirt Red - M,Home and Kitchen Needs,https://instamart-media-assets.swiggy.com/swiggy/image/upload/086bca61fc57b934ecba88b41c8c9312,1Piece,https://www.swiggy.com/stores/instamart/p/GYVR3XQLZK?custom_back=true
38,O98EO1TGBH,Paper Boat Nata De Coco - Coco Bliss,Cold Drinks and Juices,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/2/13/f900e3b7-8070-48ce-b2ed-951d7a81907d_622207_1.png,250g,https://www.swiggy.com/stores/instamart/p/O98EO1TGBH?custom_back=true
39,QBNYAR70VZ,Picfest Super Hero Mask For Party Spiderman,Party Planning,https://instamart-media-assets.swiggy.com/swiggy/image/upload/09b2d57e254676c8a9a92b42746e89f7,1Piece,https://www.swiggy.com/stores/instamart/p/QBNYAR70VZ?custom_back=true
40,B41URYNB1T,Crocs Classic Crocs Sandal Black_UK10,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/589290d5-553b-467a-b9cb-238d5dee7cc6_BeltsWalletsBagsinstamax_C5NCD10QM7_MN.PNG,10UK,https://www.swiggy.com/stores/instamart/p/B41URYNB1T?custom_back=true
41,V242TO690K,Crocs Unisex Mellow Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/a213a955-47db-47b5-a983-e9b89836dc82_BeltsWalletsBagsinstamax_3VJ1ZBAQ8B_MN.PNG,7UK,https://www.swiggy.com/stores/instamart/p/V242TO690K?custom_back=true
42,CKZ0SXQUTK,PicFest Tissue Ribbon Red,Party Planning,https://instamart-media-assets.swiggy.com/swiggy/image/upload/e01b605f462c7bd5e1772af538621499,25meter,https://www.swiggy.com/stores/instamart/p/CKZ0SXQUTK?custom_back=true
43,U8VF3AJXK3,Crocs Womens Splash Glitter Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/a1d739fd-9152-488d-afa2-89c6f4e520c2_BeltsWalletsBagsinstamax_39PBVHMLXI_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/U8VF3AJXK3?custom_back=true
44,1VMO0QY8BB,Just Lil Things-gold-pin-earrings-jlt11312,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/15/f24de0e1-87e0-4a59-8c92-59330f4c7f3d_149868_1.jpg,25g,https://www.swiggy.com/stores/instamart/p/1VMO0QY8BB?custom_back=true
45,7IW4C17KR5,Crocs Unisex Mellow Flip Flop Black.,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/a213a955-47db-47b5-a983-e9b89836dc82_BeltsWalletsBagsinstamax_3VJ1ZBAQ8B_MN.PNG,1Piece,https://www.swiggy.com/stores/instamart/p/7IW4C17KR5?custom_back=true
46,N98Y0ZBRQK,Crocs Men Crocs Bayaband Flip Flop Navy,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/13/e0b9c498-07fd-461a-b748-f76470d39fa3_HandkerchiefsandSocksinstamax_QWA83IT3UM_MN.PNG,1Pair,https://www.swiggy.com/stores/instamart/p/N98Y0ZBRQK?custom_back=true
47,0ZA9PO17WA,VI-JOHN All Skin Type Shaving Cream with Tea Tree oil and Bacti-Guard for All Skin Types,Beauty and Grooming,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/13/2bf2fa0d-d182-455e-94ee-0062fb1397b3_383341_1.png,55g,https://www.swiggy.com/stores/instamart/p/0ZA9PO17WA?custom_back=true
48,UV221DFOF8,WinMagic Li'l Diva 13 Pcs Peppa Pig Fashion Gift Set - Multicolour,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/6/22/a5318dea-b557-4596-acc8-977fae78a181_AA_UV221DFOF8_MN.png,1pack,https://www.swiggy.com/stores/instamart/p/UV221DFOF8?custom_back=true
49,K5IF5YXNTR,"VI-JOHN Prakritik Tomato Under Eye Gel, Reduces Dark Circles & Fine Lines, 100% BioActives",Beauty and Grooming,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/13/308f62e1-af00-4781-99bd-0987f4494251_202651_1.png,15g,https://www.swiggy.com/stores/instamart/p/K5IF5YXNTR?custom_back=true
50,2FYNHWJ9I3,Just Lil Things Minimalist Silver Heart Dangle Earrings jlt11643,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/21/c346daa3-c23a-4301-8ef7-4d1f7b7033fc_210813_1.png,25g,https://www.swiggy.com/stores/instamart/p/2FYNHWJ9I3?custom_back=true
51,W0VA3PATDI,Crocs Womens Splash Studded Flip Flop Red_UK8,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/70cce53d-953e-47e7-840e-a1f1a9fd4c5b_BeltsWalletsBagsinstamax_J45KXFTCPW_MN.PNG,8UK,https://www.swiggy.com/stores/instamart/p/W0VA3PATDI?custom_back=true
52,GGOXDS713T,Sosyo mix fruit flavoured drink,Cold Drinks and Juices,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/9/25/f0db8ab0-a8a8-401e-a5af-d57e84afdedc_151289_1.png,500ml,https://www.swiggy.com/stores/instamart/p/GGOXDS713T?custom_back=true
53,WU4HXIZIGS,Just Lil Things-artificial-earrings-jlt12326,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/21/db2fa1fc-6750-43b4-b568-5f1cb6060db3_291612_1.png,25g,https://www.swiggy.com/stores/instamart/p/WU4HXIZIGS?custom_back=true
54,RA4R87Q995,Crocs Womens Splash Slides Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/3/27/454bd24a-c917-4f70-a246-5c339e3fa0a0_BeltsWalletsBagsinstamax_UZ5M4F35UF_MN.JPG,7UK,https://www.swiggy.com/stores/instamart/p/RA4R87Q995?custom_back=true
55,MQUR9935E2,Crocs Womens Kadee II Graphic Sandal Pink,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/28/82a93d5f-6bf8-406a-9c9f-e100e06890a8_73875_1.png,7UK,https://www.swiggy.com/stores/instamart/p/MQUR9935E2?custom_back=true
56,OIL3BWDI13,Just Lil Things Gold-Plated Heart Pendant Necklace â€“ Elegant Minimalist Design for Everyday Wear jltn0549,Jewelry and Hair Accessories,0,25g,https://www.swiggy.com/stores/instamart/p/OIL3BWDI13?custom_back=true
57,GFDBY1H0W7,Just Lil Things Vintage-Inspired Amber Resin Hoop Earrings with Gold Accents jlt11501,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/21/53e6da8c-47d4-4b7a-812e-eb747d98ebfe_138910_1.png,1Pair,https://www.swiggy.com/stores/instamart/p/GFDBY1H0W7?custom_back=true
58,8R4PTYCN1Q,Crocs Mens Yukon Khaki Flip Flop Blue,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/27/b130d9e0-374e-4485-b88b-e8e6a952f520_BeltsWalletsBagsinstamax_ZSFWZIFGAZ_MN.png,8UK,https://www.swiggy.com/stores/instamart/p/8R4PTYCN1Q?custom_back=true
59,327DJM1A0A,Jimmy's Peach Beer - Non Alcoholic,Cold Drinks and Juices,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/18/3c130244-1e31-4ba9-a55c-95efe0b0f7e3_173533_1.png,250ml,https://www.swiggy.com/stores/instamart/p/327DJM1A0A?custom_back=true
60,SDAYSF57A7,Britannia Double Choco Chip Cake,Biscuits and Cakes,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/11/13/3099f0a6-3b20-49a6-a196-c6ecb4b21d02_403411_1.png,250g,https://www.swiggy.com/stores/instamart/p/SDAYSF57A7?custom_back=true
61,JFGY9QLPNW,Diacraft Pillar Candle 3X3Inch,Home,https://instamart-media-assets.swiggy.com/swiggy/image/upload/ab2c61429026cd71e1764e14001aa476,1Piece,https://www.swiggy.com/stores/instamart/p/JFGY9QLPNW?custom_back=true
62,CUL6768UUR,Crocs Womens Crocs Splash Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/b95f60ae363a1e55b4bd7bfb15b87f83,1Piece,https://www.swiggy.com/stores/instamart/p/CUL6768UUR?custom_back=true
63,5IROS1FBFC,Wonderchef Click & Cook Casserole Set of 3,Kitchen and Dining,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/17/3b120d5d-6945-479c-a7d2-69f2c203f3a8_986396_1.png,1box,https://www.swiggy.com/stores/instamart/p/5IROS1FBFC?custom_back=true
64,LFONN8ZW68,boAt Powerpod 200 - White,Electronics and Appliances,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/10/a9db5819-227b-4676-81f1-f3220e1b6472_716114_1.png,1box,https://www.swiggy.com/stores/instamart/p/LFONN8ZW68?custom_back=true
65,2THOTKT2D2,Sparx Slippers SF0204G Blue Black- 10 UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/18/a5d3361e-c9ce-4a8e-9f06-7ebc621e0a4d_52270_1.png,10UK,https://www.swiggy.com/stores/instamart/p/2THOTKT2D2?custom_back=true
66,C9UCCAA8GM,Crocs Mens Classic II Clogs White,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/4/20/a2d4c8ad-1cc4-437f-a36d-6997a8db79d5_BeltsWalletsBagsinstamax_J10J76MM7R_MN.jpg,9UK,https://www.swiggy.com/stores/instamart/p/C9UCCAA8GM?custom_back=true
67,76MD8MCPNJ,Flite Slippers FL0366L Navy Pink- 8 UK,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/18/e87737b9-4768-4660-bd23-5e18a50d5fa9_65013_1.png,6UK,https://www.swiggy.com/stores/instamart/p/76MD8MCPNJ?custom_back=true
68,4K3Y4NG664,Crocs Mens Classic Crocs Sandal Blue_UK9,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/b4291c8c-1f70-4b6e-b402-58291cd74fd0_BeltsWalletsBagsinstamax_S71VOYH4KW_MN.jpg,1Piece,https://www.swiggy.com/stores/instamart/p/4K3Y4NG664?custom_back=true
69,YBUG71YOGL,"VI-JOHN Prakritik Bamboo Charcoal Foaming Face Wash, Removes Tan, 100% Natural Bio Actives",Bath Body and Hair,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/13/aa15ea5d-a28e-4a59-9795-88b4fd33897b_187261_1.png,150ml,https://www.swiggy.com/stores/instamart/p/YBUG71YOGL?custom_back=true
70,7KZ8I2JJ48,Just Lil Things-multi-color-pin-earrings-jlt11040,Jewelry and Hair Accessories,0,25g,https://www.swiggy.com/stores/instamart/p/7KZ8I2JJ48?custom_back=true
71,VQGT5V3GW8,Just Lil Things Artificial Earrings jlt12429,Jewelry and Hair Accessories,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/21/f5583bcf-b2ca-4cc2-9c46-c0227865d9c5_649347_1.png,25g,https://www.swiggy.com/stores/instamart/p/VQGT5V3GW8?custom_back=true
72,VJDSRAIAB7,Gangwal Rajwadi Bajra Atta,"Atta, Rice and Dals",https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/26/9be18d1f-57a6-40f1-9355-55eb7b8c91a3_201452_1.png,1kg,https://www.swiggy.com/stores/instamart/p/VJDSRAIAB7?custom_back=true
73,2CSOGBG367,Delight foods Bhakhri Onebite Masala,Munchies And Snacks,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/22/dac4d5f9-1491-4341-b896-f67e55a0caf4_516443_1.png,200g,https://www.swiggy.com/stores/instamart/p/2CSOGBG367?custom_back=true
74,6Z15AXQ04F,Delight foods Marwari Khokha Bhujia - Pure Groundnut Oil,Munchies And Snacks,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/12/27/ba2fae42-4f90-498b-9856-5be6cfe5f0dc_134494_1.png,300g,https://www.swiggy.com/stores/instamart/p/6Z15AXQ04F?custom_back=true
75,KPKBXK2ATJ,Delight foods Bhakhri Onebite Jeera,Munchies And Snacks,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2025/1/22/e821b415-9b0b-4880-99f4-a6973e17f81d_624993_1.png,200g,https://www.swiggy.com/stores/instamart/p/KPKBXK2ATJ?custom_back=true
76,4BJW73MT44,Crocs Womens Splash Glitter Flip Flop Black,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/28/a1d739fd-9152-488d-afa2-89c6f4e520c2_BeltsWalletsBagsinstamax_39PBVHMLXI_MN.PNG,8UK,https://www.swiggy.com/stores/instamart/p/4BJW73MT44?custom_back=true
77,RO9T870SGU,Crocs Mens Classic II Clogs Black_UK8,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/NI_CATALOG/IMAGES/CIW/2024/2/22/76505636-7805-4bb8-bfd5-58b9404ffe31_BeltsWalletsBagsinstamax_WVTXK7RNHK_MN.jpg,8UK,https://www.swiggy.com/stores/instamart/p/RO9T870SGU?custom_back=true
78,D86VS0I17Z,Crocs Men Classic All-Terrain Flip Flop Yellow,Footwear,https://instamart-media-assets.swiggy.com/swiggy/image/upload/aa2c705ee0a42434404c18dbb1793941,4UK,https://www.swiggy.com/stores/instamart/p/D86VS0I17Z?custom_back=true
